village_code,predicted_y_resnet,predicted_y_inception,actual_y
404819,1,1,1
381042,0,0,0
613243,2,2,2
545076,2,2,2
422905,1,0,1
530014,2,2,2
427600,0,0,1
605110,2,2,1
599812,0,2,2
406085,1,1,1
388280,0,0,0
429336,0,0,0
545443,0,0,0
528992,0,0,0
256737,1,1,1
241943,1,0,0
612922,2,2,2
254886,1,1,1
245249,1,1,1
398880,0,1,1
513413,2,2,2
231877,1,1,1
601621,2,2,2
599934,2,2,1
597807,2,0,1
427529,0,1,0
560618,2,2,2
521011,2,2,2
228039,1,1,1
385038,0,0,0
393133,1,1,1
509485,2,2,2
425336,0,0,1
611023,2,2,1
427790,0,1,1
542350,0,0,0
415727,0,0,0
526522,2,2,2
248386,1,1,1
542678,2,2,2
379826,1,1,1
508046,2,2,2
544247,2,0,0
220182,1,1,1
617564,0,0,0
549846,2,2,1
421830,1,1,1
244729,1,1,1
409691,0,1,1
426222,0,1,1
252349,1,0,1
517985,0,2,0
232082,1,1,1
387879,1,1,1
518699,1,0,1
218053,1,1,1
548020,2,0,1
516099,2,2,2
609906,2,2,2
430875,0,2,0
420862,1,0,0
229127,1,1,1
566670,0,1,0
401584,1,0,0
388681,1,1,1
564527,2,2,2
248429,1,1,1
410315,0,1,1
540359,0,0,0
612400,2,2,1
404994,0,0,1
549430,0,0,0
239827,1,1,1
565785,0,0,0
615855,2,2,1
380557,1,2,1
392913,1,1,1
542311,0,0,0
244313,0,1,1
237040,1,1,1
606747,0,2,2
536922,0,0,0
246273,1,1,1
511970,1,2,1
247692,1,1,1
407071,1,1,1
623409,2,2,1
563610,0,2,2
535785,1,1,1
560142,2,2,2
514122,2,2,1
218741,1,1,1
521497,2,2,2
237228,0,1,1
522620,0,0,0
610231,2,0,1
243947,1,1,1
222934,1,1,1
537315,2,0,1
230060,1,1,1
414693,1,1,1
418241,1,1,1
221456,1,1,1
555787,2,2,2
223781,1,1,1
535025,2,2,2
256687,1,1,1
529970,0,2,1
232697,1,1,1
510019,2,2,2
613886,2,2,1
531298,0,0,0
425980,0,0,0
256896,0,0,0
545014,2,2,2
380152,0,1,1
515576,1,2,1
223860,1,1,1
611109,2,2,1
394174,1,1,1
380506,1,0,1
390351,1,2,2
382449,0,0,0
234840,1,1,1
394754,1,1,1
383721,1,1,1
223983,1,1,1
242290,0,0,0
613783,2,2,2
383414,0,0,0
614088,2,2,2
227106,1,1,1
421000,0,1,0
610498,2,2,2
608351,1,2,1
419622,1,1,1
612590,2,2,1
225735,1,1,1
405841,0,0,0
536546,2,2,2
385788,0,0,1
260762,1,1,1
422350,1,1,1
236748,1,1,1
610373,2,2,2
534872,2,2,2
239473,1,0,1
259346,0,0,0
252920,1,1,1
567349,2,2,2
603167,0,0,0
522129,2,2,2
392777,1,1,1
399964,0,1,1
558652,0,0,0
620072,0,2,2
238789,1,1,1
616198,2,2,2
381756,1,1,1
235167,1,1,1
607662,2,2,2
217029,1,1,1
404228,0,0,0
604497,2,2,2
385414,0,0,1
556993,2,2,1
516764,0,2,1
426744,0,1,1
613757,2,2,1
537593,0,2,1
420748,0,0,0
627747,0,0,0
550461,0,0,0
422236,0,1,1
390968,1,0,1
550969,0,2,2
418820,0,2,1
626340,2,2,2
245369,1,1,1
530907,0,2,2
563656,0,0,1
233531,1,1,1
230712,1,1,1
554212,2,2,2
226012,1,1,1
393529,1,1,1
519745,1,2,1
562175,0,2,2
518119,0,0,0
411203,0,2,0
406749,0,0,0
516004,2,2,1
230770,1,1,1
621336,1,1,1
225210,1,1,1
430130,0,0,0
429258,0,0,1
549271,0,1,2
418832,0,0,1
431147,0,0,1
601845,1,1,1
611475,2,2,2
245159,1,1,1
535881,2,2,2
599814,2,2,2
397510,1,1,1
550852,0,0,0
256286,0,0,1
380438,1,1,1
560741,0,2,1
236132,1,1,1
245227,1,1,1
551198,0,2,2
545342,0,2,2
245791,1,1,1
412243,0,1,2
598383,2,2,2
515440,0,2,1
246760,1,1,1
417371,0,0,0
383730,1,1,1
568297,2,2,2
622127,2,2,2
425681,0,2,2
623295,2,2,1
522656,0,2,1
626315,2,2,1
250941,1,1,1
386266,0,2,1
243235,1,1,1
615902,2,1,1
606547,2,2,2
404002,2,1,2
626465,2,2,2
260807,1,1,1
520364,2,1,1
260117,1,0,1
624214,2,2,2
517733,0,2,2
565805,2,2,2
526439,2,2,2
229216,1,1,1
240627,0,0,1
422746,0,1,1
623823,0,2,1
392302,0,0,1
616923,2,2,2
393573,1,2,1
260754,1,1,1
618298,2,2,2
552424,0,2,2
