District_name,District_code,State_code,State_name,ASSET_2001,ASSET_2003,ASSET_2005,ASSET_2007,ASSET_2009,ASSET_2011,ASSET_Actual_2001,Formal_EMP_2001,LIT_2001,ASSET_change
Tirap,254,12,ARUNACHAL PRADESH,3,3,1,3,1,3,1,2,1,0
Lower Subansiri,255,12,ARUNACHAL PRADESH,3,3,1,3,3,3,1,2,1,0
Dibang Valley,257,12,ARUNACHAL PRADESH,3,3,3,3,1,2,1,3,1,1
Lohit,259,12,ARUNACHAL PRADESH,3,3,3,3,1,2,1,3,1,0
Mon,261,13,NAGALAND,3,3,1,3,1,3,1,1,1,0
Mokokchung,262,13,NAGALAND,3,3,1,1,1,3,1,2,3,1
Zunheboto,263,13,NAGALAND,3,3,1,3,1,3,1,2,2,0
Wokha,264,13,NAGALAND,3,3,1,1,1,3,1,2,3,0
Dimapur,265,13,NAGALAND,3,3,1,1,1,3,1,3,2,1
Phek,266,13,NAGALAND,3,3,1,3,1,3,1,2,2,0
Tuensang,267,13,NAGALAND,3,3,1,3,1,3,1,1,1,0
Kohima,270,13,NAGALAND,3,3,1,3,1,3,1,3,2,1
Senapati (Excluding 3 Sub-Divisions),272,14,MANIPUR,1,1,1,1,1,1,1,1,1,0
Tamenglong,273,14,MANIPUR,3,1,1,3,1,1,1,1,1,0
Churachandpur,274,14,MANIPUR,3,1,1,3,1,1,1,2,2,0
Bishnupur,275,14,MANIPUR,3,3,3,3,3,3,1,3,1,1
Thoubal,276,14,MANIPUR,3,3,2,3,3,3,1,2,1,1
Imphal West,277,14,MANIPUR,3,3,3,3,3,3,2,3,3,1
Imphal East,278,14,MANIPUR,3,3,3,1,1,3,1,3,2,1
Ukhrul,279,14,MANIPUR,1,1,1,3,1,1,1,2,2,0
Chandel,280,14,MANIPUR,3,1,1,3,1,3,1,1,1,0
Mamit,281,15,MIZORAM,3,3,1,3,1,3,1,1,3,1
Kolasib,282,15,MIZORAM,3,3,1,3,1,3,1,2,3,1
Aizawl,283,15,MIZORAM,3,3,1,3,1,3,1,3,3,1
Champhai,284,15,MIZORAM,1,1,1,3,1,3,1,2,3,1
Serchhip,285,15,MIZORAM,3,3,1,3,1,3,1,2,3,1
Lunglei,286,15,MIZORAM,3,3,1,3,1,3,1,3,3,1
Lawngtlai,287,15,MIZORAM,3,3,1,3,1,3,1,2,1,0
Saiha,288,15,MIZORAM,3,3,1,3,1,3,1,2,3,1
West Tripura ,289,16,TRIPURA,1,2,1,1,1,2,1,3,2,1
South Tripura ,290,16,TRIPURA,1,3,1,1,1,3,1,2,2,0
Dhalai,291,16,TRIPURA,1,3,1,1,1,1,1,2,1,0
North Tripura ,292,16,TRIPURA,3,3,1,1,1,1,1,3,2,0
West Garo Hills,293,17,MEGHALAYA,1,3,1,1,1,1,1,2,1,0
East Garo Hills,294,17,MEGHALAYA,3,3,1,3,1,1,1,1,1,0
South Garo Hills,295,17,MEGHALAYA,3,3,1,3,1,3,1,2,1,0
West Khasi Hills,296,17,MEGHALAYA,1,1,1,1,1,1,1,1,1,0
Ri Bhoi,297,17,MEGHALAYA,3,3,1,1,1,1,1,2,1,0
East Khasi Hills,298,17,MEGHALAYA,1,1,1,1,1,2,1,3,2,1
Jaintia Hills,299,17,MEGHALAYA,1,1,1,1,1,1,1,2,1,0
Kokrajhar,300,18,ASSAM,1,1,1,1,1,1,1,2,1,0
Dhubri,301,18,ASSAM,1,1,1,1,1,1,1,2,1,0
Goalpara,302,18,ASSAM,1,1,1,1,1,1,1,2,1,0
Barpeta,303,18,ASSAM,1,1,1,1,1,1,1,2,1,0
Marigaon,304,18,ASSAM,1,1,1,1,1,1,1,1,1,0
Nagaon,305,18,ASSAM,1,1,1,1,1,1,1,2,1,0
Sonitpur,306,18,ASSAM,1,1,1,1,1,1,1,3,1,0
Lakhimpur,307,18,ASSAM,3,1,1,1,3,1,1,2,2,0
Dhemaji,308,18,ASSAM,3,1,3,3,3,1,1,1,1,0
Tinsukia,309,18,ASSAM,3,3,1,3,1,2,1,3,1,1
Dibrugarh,310,18,ASSAM,3,2,3,2,1,2,1,3,2,1
Sibsagar,311,18,ASSAM,3,1,1,1,1,2,1,3,2,1
Jorhat,312,18,ASSAM,1,1,2,1,1,2,1,3,2,1
Golaghat,313,18,ASSAM,1,1,1,1,1,1,1,2,2,0
Karbi Anglong,314,18,ASSAM,2,2,1,1,2,2,1,1,1,0
North Cachar Hills,315,18,ASSAM,3,3,1,3,1,1,1,3,1,0
Cachar,316,18,ASSAM,1,3,1,1,1,1,1,3,1,0
Karimganj,317,18,ASSAM,1,3,1,1,1,1,1,3,1,0
Hailakandi,318,18,ASSAM,3,3,1,1,1,1,1,2,1,0
Bongaigaon,319,18,ASSAM,1,3,1,3,1,1,1,2,1,0
Kamrup,321,18,ASSAM,1,1,1,1,1,1,1,3,2,1
Nalbari,323,18,ASSAM,1,3,1,3,1,1,1,2,1,0
Darrang,325,18,ASSAM,1,1,1,1,1,1,1,2,1,0
Darjiling ,327,19,WEST BENGAL,3,3,1,3,1,2,1,3,2,1
Jalpaiguri ,328,19,WEST BENGAL,1,1,2,1,1,1,1,3,1,0
Koch Bihar ,329,19,WEST BENGAL,1,2,1,1,1,1,1,2,1,0
Uttar Dinajpur,330,19,WEST BENGAL,1,1,1,1,1,1,1,2,1,0
Dakshin Dinajpur,331,19,WEST BENGAL,1,1,1,1,1,1,1,2,1,0
Maldah ,332,19,WEST BENGAL,1,1,1,1,1,1,1,2,1,0
Murshidabad ,333,19,WEST BENGAL,1,1,1,1,1,1,1,2,1,0
Birbhum,334,19,WEST BENGAL,1,1,1,1,1,1,1,2,1,0
Barddhaman ,335,19,WEST BENGAL,1,1,2,2,1,2,1,3,2,1
Nadia ,336,19,WEST BENGAL,1,3,3,1,1,1,1,2,1,0
North Twenty Four Parganas,337,19,WEST BENGAL,1,3,3,1,1,2,1,3,2,1
Hugli ,338,19,WEST BENGAL,1,1,1,1,1,2,1,3,2,1
Bankura ,339,19,WEST BENGAL,1,1,1,2,2,1,1,2,1,0
Puruliya,340,19,WEST BENGAL,1,1,1,1,1,1,1,2,1,0
Haora ,341,19,WEST BENGAL,3,3,3,3,1,2,1,3,2,1
Kolkata,342,19,WEST BENGAL,3,3,3,3,3,3,2,3,3,1
South  Twenty Four Parganas,343,19,WEST BENGAL,1,3,2,1,1,1,1,3,2,0
Medinipur ,344,19,WEST BENGAL,1,1,1,2,1,1,1,2,2,0
Garhwa,346,20,JHARKHAND,1,1,1,1,2,1,1,1,1,0
Chatra,347,20,JHARKHAND,1,1,1,1,2,1,1,1,1,0
Kodarma,348,20,JHARKHAND,1,1,1,1,2,1,1,2,1,1
Giridih,349,20,JHARKHAND,1,1,1,2,2,1,1,1,1,0
Deoghar,350,20,JHARKHAND,3,1,1,1,3,1,1,2,1,0
Godda,351,20,JHARKHAND,1,1,1,1,1,1,1,1,1,0
Sahibganj,352,20,JHARKHAND,1,1,1,1,1,1,1,2,1,0
Pakaur,353,20,JHARKHAND,1,3,1,3,1,1,1,2,1,0
Dhanbad,354,20,JHARKHAND,1,1,1,1,1,1,1,3,1,1
Bokaro,355,20,JHARKHAND,1,1,1,1,1,1,1,2,1,1
Lohardaga,356,20,JHARKHAND,1,1,1,3,3,1,1,1,1,0
Purbi Singhbhum,357,20,JHARKHAND,1,1,1,1,1,1,1,3,2,1
Palamu,358,20,JHARKHAND,1,1,1,2,2,1,1,1,1,0
Hazaribagh,360,20,JHARKHAND,1,1,1,1,2,1,1,2,1,1
Dumka,362,20,JHARKHAND,1,1,1,1,1,1,1,1,1,0
Ranchi,364,20,JHARKHAND,1,1,1,1,2,1,1,2,1,1
Gumla,366,20,JHARKHAND,1,1,1,1,2,1,1,1,1,0
Pashchimi Singhbhum,368,20,JHARKHAND,1,1,1,1,1,1,1,1,1,0
Bargarh,370,21,ODISHA,1,1,1,1,1,1,1,1,1,0
Jharsuguda,371,21,ODISHA,3,1,1,1,1,1,1,2,2,1
Sambalpur,372,21,ODISHA,1,1,1,1,1,1,1,2,1,0
Debagarh,373,21,ODISHA,1,3,1,1,1,1,1,1,1,0
Sundargarh,374,21,ODISHA,1,1,1,1,1,1,1,2,1,0
Kendujhar,375,21,ODISHA,1,1,1,1,1,1,1,2,1,0
